date,open,high,low,close,volume,ma20,ma60,ma120,rsi14,macd,macd_signal,bb_middle,bb_upper,bb_lower,volume_ma20,high_20d,low_20d,prev_high_20d,prev_low_20d,ma20_slope_5d
2024-06-07,2718.25,2729.6298828125,2705.22998046875,2722.669921875,783900,,,,,0.0,0.0,,,,,,,,,
2024-06-10,2698.7099609375,2718.889892578125,2689.18994140625,2701.169921875,506900,,,,,-1.7150997150997682,-0.34301994301995364,,,,,,,,,
2024-06-11,2716.719970703125,2718.8798828125,2702.169921875,2705.320068359375,558900,,,,,-2.708227695810365,-0.8160614935780359,,,,,,,,,
2024-06-12,2709.64990234375,2730.300048828125,2707.43994140625,2728.169921875,511000,,,,,-1.632676087476284,-0.9793844123576856,,,,,,,,,
2024-06-13,2764.179931640625,2776.719970703125,2752.610107421875,2754.889892578125,700000,,,,,1.360106181267838,-0.5114862936325808,,,,,,,,,
2024-06-14,2759.219970703125,2769.159912109375,2750.860107421875,2758.419921875,645000,,,,,3.970976607171451,0.3850062865282256,,,,,,,,,
2024-06-17,2754.830078125,2759.860107421875,2741.030029296875,2744.10009765625,594000,,,,,4.828954905090541,1.2737960102406887,,,,,,,,,
2024-06-18,2765.699951171875,2772.35009765625,2759.030029296875,2763.919921875,561500,,,,,7.02719789777575,2.424476387747701,,,,,,,,,
2024-06-19,2786.159912109375,2799.320068359375,2786.159912109375,2797.330078125,645700,,,,,11.33458367098774,4.2064978443957095,,,,,,,,,
2024-06-20,2802.10009765625,2812.6201171875,2796.3701171875,2807.6298828125,758200,,,,,15.401783910871927,6.445555057690953,,,,,,,,,
2024-06-21,2794.8701171875,2797.0,2777.330078125,2784.260009765625,631100,,,,,16.548554523441908,8.466154950841144,,,,,,,,,
2024-06-24,2772.85009765625,2782.89990234375,2758.090087890625,2764.72998046875,592800,,,,,15.70048295663355,9.913020551999626,,,,,,,,,
2024-06-25,2765.760009765625,2780.419921875,2765.760009765625,2774.389892578125,714200,,,,,15.627707818069211,11.055958005213544,,,,,,,,,
2024-06-26,2767.429931640625,2792.070068359375,2762.97998046875,2792.050048828125,534300,,,,,16.801384116139616,12.20504322739876,,,,,,,,,
2024-06-27,2767.6201171875,2784.330078125,2761.550048828125,2784.06005859375,396700,,,,63.07232423215289,16.892084170106045,13.142451415940217,,,,,,,,,
2024-06-28,2792.7900390625,2797.820068359375,2782.39990234375,2797.820068359375,610600,,,,71.28205514167107,17.868307678931615,14.087622668538497,,,,,,,,,
2024-07-01,2792.9599609375,2805.949951171875,2783.97998046875,2804.31005859375,458800,,,,71.57496160849497,18.947247738116403,15.05954768245408,,,,,,,,,
2024-07-02,2798.64990234375,2805.419921875,2776.6201171875,2780.860107421875,538400,,,,61.45391399600263,17.70599671962873,15.58883748988901,,,,,,,,,
2024-07-03,2797.139892578125,2799.699951171875,2774.7099609375,2794.010009765625,339800,,,,59.037196459027044,17.58072392379472,15.987214776670152,,,,,,,,,
2024-07-04,2817.06005859375,2824.93994140625,2808.8798828125,2824.93994140625,393200,2769.252490234375,,,63.640131922792726,19.749570565926206,16.739685934521365,2769.252490234375,2838.429843775783,2700.0751366929667,573750.0,2824.93994140625,2689.18994140625,,,
2024-07-05,2836.2099609375,2871.9599609375,2836.2099609375,2862.22998046875,377600,2776.2304931640624,,,72.13748979733761,24.198447027671136,18.23143815315132,2776.2304931640624,2853.325352261984,2699.135634066141,553435.0,2871.9599609375,2689.18994140625,2824.93994140625,2689.18994140625,
2024-07-08,2862.580078125,2868.989990234375,2855.530029296875,2857.760009765625,424600,2784.0599975585938,,,68.659069748024,27.051689361521767,19.995488394825408,2784.0599975585938,2860.863413197516,2707.2565819196716,549320.0,2871.9599609375,2702.169921875,2871.9599609375,2689.18994140625,
2024-07-09,2872.6298828125,2875.3701171875,2854.1298828125,2867.3798828125,455800,2792.16298828125,,,65.38410395760368,29.746251554328865,21.9456410267261,2792.16298828125,2868.179869731804,2716.1461068306958,544165.0,2875.3701171875,2707.43994140625,2871.9599609375,2702.169921875,
2024-07-10,2863.050048828125,2871.56005859375,2858.8701171875,2867.989990234375,471800,2799.1539916992188,,,63.84534829673684,31.567056695688734,23.86992416051863,2799.1539916992188,2876.1028179784175,2722.20516542002,542205.0,2875.3701171875,2741.030029296875,2875.3701171875,2707.43994140625,
2024-07-11,2888.760009765625,2896.429931640625,2879.280029296875,2891.35009765625,461700,2805.977001953125,,,74.56533061530794,34.49735924527113,25.99541117746913,2805.977001953125,2890.2510798386766,2721.702924067574,530290.0,2896.429931640625,2741.030029296875,2875.3701171875,2741.030029296875,36.724511718750364
2024-07-12,2867.75,2872.25,2844.8798828125,2857.0,407400,2810.906005859375,,,69.81829203320791,33.65986930162171,27.528302802299645,2810.906005859375,2894.9997378248218,2726.8122738939282,518410.0,2896.429931640625,2741.030029296875,2896.429931640625,2741.030029296875,34.67551269531259
2024-07-15,2869.14990234375,2872.89990234375,2848.929931640625,2860.919921875,424500,2816.7469970703123,,,69.05527652239738,32.93282827823123,28.609207897485966,2816.7469970703123,2897.4633408118525,2736.030653328772,509935.0,2896.429931640625,2758.090087890625,2896.429931640625,2741.030029296875,32.68699951171857
2024-07-16,2861.7099609375,2872.2099609375,2857.070068359375,2866.090087890625,677300,2821.855505371094,,,67.25391937990847,32.4003412522834,29.367434568445454,2821.855505371094,2901.4187371531034,2742.2922735890843,515725.0,2896.429931640625,2758.090087890625,2896.429931640625,2758.090087890625,29.692517089843932
2024-07-17,2865.89990234375,2868.580078125,2841.330078125,2843.2900390625,548100,2824.1535034179688,,,62.91144225651943,29.795108590367818,29.45296937282993,2824.1535034179688,2903.3883828290027,2744.918624006935,510845.0,2896.429931640625,2758.090087890625,2896.429931640625,2758.090087890625,24.99951171875
2024-07-18,2805.639892578125,2824.35009765625,2799.02001953125,2824.35009765625,657700,2824.9895141601564,,,55.655515620104566,25.903547975658057,28.743085093395557,2824.9895141601564,2903.8422341409373,2746.1367941793756,505820.0,2896.429931640625,2758.090087890625,2896.429931640625,2758.090087890625,19.01251220703125
2024-07-19,2800.2099609375,2802.679931640625,2776.989990234375,2795.4599609375,425600,2825.54951171875,,,48.277857379036696,20.254781055222338,27.045424285760916,2825.54951171875,2903.336196304817,2747.7628271326835,495545.0,2896.429931640625,2758.090087890625,2896.429931640625,2758.090087890625,14.643505859375182
2024-07-22,2790.989990234375,2795.1201171875,2752.6298828125,2763.510009765625,463400,2825.4885131835936,,,46.73194859852624,13.049571197236219,24.246253668055978,2825.4885131835936,2903.47766144955,2747.499364917637,489075.0,2896.429931640625,2752.6298828125,2896.429931640625,2758.090087890625,8.74151611328125
2024-07-23,2788.830078125,2796.919921875,2765.81005859375,2774.2900390625,422700,2825.4835205078125,,,46.25210077794905,8.115696053581814,21.02014214516115,2825.4835205078125,2903.4864538540655,2747.4805871615595,474500.0,2896.429931640625,2752.6298828125,2896.429931640625,2752.6298828125,3.628015136718659
