date,open,high,low,close,volume,ma20,ma60,ma120,rsi14,macd,macd_signal,bb_middle,bb_upper,bb_lower,volume_ma20,high_20d,low_20d,prev_high_20d,prev_low_20d,ma20_slope_5d
2024-06-07,856.1699829101562,866.47998046875,855.0599975585938,866.1799926757812,800,,,,,0.0,0.0,,,,,,,,,
2024-06-10,862.2100219726562,867.5999755859375,860.9000244140625,864.7100219726562,900,,,,,-0.11726262019237765,-0.02345252403847553,,,,,,,,,
2024-06-11,866.8800048828125,872.3599853515625,865.9099731445312,868.3599853515625,1000,,,,,0.08336645256338215,-0.0020887287181039944,,,,,,,,,
2024-06-12,871.3599853515625,876.4500122070312,867.3200073242188,870.6699829101562,1200,,,,,0.42387773700272646,0.08310456442606211,,,,,,,,,
2024-06-13,879.52001953125,879.52001953125,871.1199951171875,871.3300170898438,900,,,,,0.738481866074153,0.21418002475568032,,,,,,,,,
2024-06-14,872.6900024414062,873.3699951171875,859.6900024414062,862.1900024414062,1000,,,,,0.24743285716829178,0.22083059123820264,,,,,,,,,
2024-06-17,860.1300048828125,864.0999755859375,857.1099853515625,858.9600219726562,800,,,,,-0.397774157084541,0.09710964157365391,,,,,,,,,
2024-06-18,863.3200073242188,864.8099975585938,855.3499755859375,858.9500122070312,1040200,,,,,-0.899543689075017,-0.10222102455608027,,,,,,,,,
2024-06-19,860.6599731445312,866.2100219726562,856.1599731445312,861.1699829101562,1000,,,,,-1.1053250761223126,-0.30284183486932675,,,,,,,,,
2024-06-20,861.4400024414062,864.7000122070312,854.9400024414062,857.510009765625,600,,,,,-1.545917182049493,-0.5514569043053601,,,,,,,,,
2024-06-21,853.47998046875,856.02001953125,848.5,852.6699829101562,800,,,,,-2.259592146023465,-0.8930839526489811,,,,,,,,,
2024-06-24,852.27001953125,852.47998046875,841.4299926757812,841.52001953125,700,,,,,-3.6824446278415053,-1.450956087687486,,,,,,,,,
2024-06-25,839.5,844.5399780273438,836.1199951171875,841.989990234375,700,,,,,-4.717759369440159,-2.104316744038021,,,,,,,,,
2024-06-26,845.9099731445312,846.760009765625,839.3400268554688,842.1199951171875,700,,,,,-5.464768998337831,-2.776407194897983,,,,,,,,,
2024-06-27,841.1199951171875,844.6199951171875,837.7999877929688,838.6500244140625,800,,,,20.340382888007156,-6.264563162557238,-3.4740383884298343,,,,,,,,,
2024-06-28,840.1099853515625,842.3599853515625,838.2899780273438,840.4400024414062,700,,,,24.03157171554632,-6.67700121880921,-4.114630954505709,,,,,,,,,
2024-07-01,840.5900268554688,847.969970703125,840.4000244140625,847.1500244140625,600,,,,28.700545995258395,-6.388772858010725,-4.569459335206712,,,,,,,,,
2024-07-02,846.8599853515625,847.3900146484375,828.489990234375,829.9099731445312,700,,,,18.510484999603918,-7.4654211340655365,-5.1486516949784775,,,,,,,,,
2024-07-03,832.97998046875,838.8900146484375,829.5,836.0999755859375,800,,,,24.92521557809684,-7.730083592810274,-5.664938074544837,,,,,,,,,
