date,open,high,low,close,volume,ma20,ma60,ma120,rsi14,macd,macd_signal,bb_middle,bb_upper,bb_lower,volume_ma20,high_20d,low_20d,prev_high_20d,prev_low_20d,ma20_slope_5d
2024-06-07,38861.23828125,39105.23046875,38751.8515625,38798.98828125,265850000,,,,,0.0,0.0,,,,,,,,,
2024-06-10,38784.8984375,38877.859375,38665.44921875,38868.0390625,330580000,,,,,5.508324430207722,1.1016648860415443,,,,,,,,,
2024-06-11,38795.7109375,38795.7109375,38446.23828125,38747.421875,383090000,,,,,0.13930639768659603,0.9091931883705547,,,,,,,,,
2024-06-12,38950.6484375,39120.26171875,38621.44921875,38712.2109375,472280000,,,,,-6.877626464243804,-0.6481707421523171,,,,,,,,,
2024-06-13,38677.12109375,38712.2109375,38407.69921875,38647.1015625,341330000,,,,,-17.490756182691257,-4.016687830260105,,,,,,,,,
2024-06-14,38528.390625,38595.23828125,38305.8515625,38589.16015625,272200000,,,,,-30.22866792867717,-9.259083849943519,,,,,,,,,
2024-06-17,38565.1796875,38839.87890625,38431.94921875,38778.1015625,346190000,,,,,-24.791778137878282,-12.365622707530472,,,,,,,,,
2024-06-18,38779.12109375,38936.9296875,38727.671875,38834.859375,324260000,,,,,-15.721890516731946,-13.036876269370767,,,,,,,,,
2024-06-20,38804.73046875,39232.5,38778.4609375,39134.76171875,397010000,,,,,15.487147326231934,-7.332071550250227,,,,,,,,,
2024-06-21,39208.51171875,39257.1796875,39061.671875,39150.328125,818670000,,,,,41.0039455954975,2.3351318788993183,,,,,,,,,
2024-06-24,39184.48828125,39571.23046875,39184.48828125,39411.2109375,373940000,,,,,81.33962220991816,18.13602994510309,,,,,,,,,
2024-06-25,39398.7890625,39423.26171875,38997.23046875,39112.16015625,339010000,,,,,88.15879800800758,32.14058355768399,,,,,,,,,
2024-06-26,39063.1484375,39183.73828125,38908.98828125,39127.80078125,333100000,,,,,93.74448362749536,44.46136357164627,,,,,,,,,
2024-06-27,39107.1015625,39250.69140625,39026.75,39164.05859375,338010000,,,,,99.94478095184604,55.55804704768622,,,,,,,,,
2024-06-28,39092.390625,39443.6015625,38937.1484375,39118.859375,679630000,,,,60.21215726475261,100.05795620936988,64.45802888002295,,,,,,,,,
2024-07-01,39186.19921875,39438.359375,39037.94140625,39169.51953125,346210000,,,,59.73938786687227,103.04763069935143,72.17594924388865,,,,,,,,,
