date,open,high,low,close,volume,ma20,ma60,ma120,rsi14,macd,macd_signal,bb_middle,bb_upper,bb_lower,volume_ma20,high_20d,low_20d,prev_high_20d,prev_low_20d,ma20_slope_5d
2024-06-07,17124.140625,17229.310546875,17090.0390625,17133.130859375,4755650000,,,,,0.0,0.0,,,,,,,,,
2024-06-10,17083.44921875,17213.44921875,17057.33984375,17192.529296875,5207110000,,,,,4.738336894584791,0.9476673789169582,,,,,,,,,
2024-06-11,17160.419921875,17345.05078125,17107.990234375,17343.55078125,5009220000,,,,,20.444008863054478,4.8469356757444615,,,,,,,,,
2024-06-12,17502.150390625,17725.390625,17490.640625,17608.439453125,5560630000,,,,,53.64676261911518,14.606901064418606,,,,,,,,,
2024-06-13,17715.26953125,17741.80078125,17566.3203125,17667.560546875,4916020000,,,,,83.7651696203684,28.438554775608566,,,,,,,,,
2024-06-14,17621.1796875,17693.4296875,17590.80078125,17688.880859375,4973820000,,,,,108.10838898464863,44.37252161741658,,,,,,,,,
2024-06-17,17697.30078125,17935.990234375,17636.359375,17857.01953125,6061200000,,,,,139.36147896111288,63.370313086155846,,,,,,,,,
2024-06-18,17856.759765625,17890.51953125,17796.880859375,17862.23046875,5796180000,,,,,162.67504043599183,83.23125855612305,,,,,,,,,
2024-06-20,17913.939453125,17936.7890625,17650.689453125,17721.58984375,6289300000,,,,,167.86760950678217,100.15852874625489,,,,,,,,,
2024-06-21,17681.009765625,17787.33984375,17620.5703125,17689.359375,8589160000,,,,,167.4517489125974,113.6171727795234,,,,,,,,,
2024-06-24,17640.259765625,17730.119140625,17494.01953125,17496.8203125,5503210000,,,,,149.85840871586697,120.86541996679212,,,,,,,,,
2024-06-25,17572.16015625,17734.33984375,17546.630859375,17717.650390625,4848280000,,,,,151.98273919603162,127.08888381264002,,,,,,,,,
2024-06-26,17697.26953125,17813.55078125,17687.0703125,17805.16015625,5294310000,,,,,158.89593965973472,133.45029498205898,,,,,,,,,
2024-06-27,17793.94921875,17892.779296875,17765.419921875,17858.6796875,5382060000,,,,,166.77084918645778,140.11440582293875,,,,,,,,,
2024-06-28,17891.099609375,18035.0,17723.830078125,17732.599609375,8960940000,,,,68.94116862952256,160.9824575499988,144.28801616835077,,,,,,,,,
2024-07-01,17773.900390625,17894.279296875,17657.640625,17879.30078125,5189990000,,,,70.56507504272365,166.31549254223137,148.6935114431269,,,,,,,,,
2024-07-02,17808.0390625,18031.2890625,17802.240234375,18028.759765625,4526550000,,,,70.53750499055745,180.52111708694792,155.05903257189112,,,,,,,,,
2024-07-03,18016.119140625,18188.30078125,18016.119140625,18188.30078125,3713960000,,,,68.5515043584216,202.32057782469565,164.51134162245205,,,,,,,,,
2024-07-05,18200.599609375,18366.310546875,18197.140625,18352.759765625,4851000000,,,,70.53733251532593,230.21351501581375,177.6517763011244,,,,,,,,,
2024-07-08,18371.859375,18416.939453125,18342.599609375,18403.740234375,5286260000,17761.403125,,,71.052026126949,253.51025801437208,192.82347264377398,17761.403125,18421.632429775855,17101.173820224147,5535742500.0,18416.939453125,17057.33984375,,,
2024-07-09,18465.01953125,18511.890625,18381.599609375,18429.2890625,4839140000,17826.21103515625,,,68.3979916814017,270.9117693535336,208.44113198572592,17826.21103515625,18481.213208247562,17171.20886206494,5539917000.0,18511.890625,17057.33984375,18416.939453125,17057.33984375,
